ayahRef,wordId,word,translation,highlight
18:88,,وَأَمَّا مَنۡ ءَامَنَ وَعَمِلَ صَٰلِحٗا فَلَهُۥ جَزَآءً ٱلۡحُسۡنَىٰۖ ,"But as for one who believes and does righteousness, he will have a reward of Paradise,",جَزَآءً
,,ثَواب,Reward,
19:76,,وَٱلۡبَٰقِيَٰتُ ٱلصَّٰلِحَٰتُ خَيۡرٌ عِندَ رَبِّكَ ثَوَابٗا وَخَيۡرٞ مَّرَدًّا ,and the enduring good deeds are better to your Lord for reward and better for recourse. ,ثَوَابٗا
3:145,,وَمَن يُرِدۡ ثَوَابَ ٱلۡأٓخِرَةِ نُؤۡتِهِۦ مِنۡهَاۚ ,and whoever desires the reward of the Hereafter - We will give him thereof.,ثَوَابَ
,,جَنَّة ,Paradise/ garden,
3:185,,فَمَن زُحۡزِحَ عَنِ ٱلنَّارِ وَأُدۡخِلَ ٱلۡجَنَّةَ فَقَدۡ فَازَۗ ,So he who is drawn away from the Fire and admitted to Paradise has attained (his desire). ,ٱلۡجَنَّةَ
,,جَنَّٰت,Paradise/ gardens,
2:25,,وَبَشِّرِ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ أَنَّ لَهُمۡ جَنَّٰتٖ تَجۡرِي مِن تَحۡتِهَا ٱلۡأَنۡهَٰرُۖ ,And give good tidings to those who believe and do righteous deeds that they will have gardens (in Paradise) beneath which rivers flow. ,جَنَّٰتٖ
,,ٱلدُّنۡيَا,This world (present life),
2:86,,أُوْلَٰٓئِكَ ٱلَّذِينَ ٱشۡتَرَوُاْ ٱلۡحَيَوٰةَ ٱلدُّنۡيَا بِٱلۡأٓخِرَةِۖ ,"Those are the ones who have bought the life of this world (in exchange) for the Hereafter,",ٱلدُّنۡيَا
2:130,,وَلَقَدِ ٱصۡطَفَيۡنَٰهُ فِي ٱلدُّنۡيَاۖ وَإِنَّهُۥ فِي ٱلۡأٓخِرَةِ لَمِنَ ٱلصَّٰلِحِينَ ,"And We had chosen him in this world, and indeed he, in the Hereafter, will be among the righteous. ",ٱلدُّنۡيَاۖ
,,عَٰلَمِين,Worlds,
1:2,,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ ,"(All) praise is (due) to Allah, Lord of the worlds ",ٱلۡعَٰلَمِينَ
2:131,,إِذۡ قَالَ لَهُۥ رَبُّهُۥٓ أَسۡلِمۡۖ قَالَ أَسۡلَمۡتُ لِرَبِّ ٱلۡعَٰلَمِينَ ,"When his Lord said to him, ""Submit"", he said ""I have submitted (in Islam) to the Lord of the worlds.""",ٱلۡعَٰلَمِينَ
,,أَمۡوَٰل,Wealth,
3:10,,إِنَّ ٱلَّذِينَ كَفَرُواْ لَن تُغۡنِيَ عَنۡهُمۡ أَمۡوَٰلُهُمۡ وَلَآ أَوۡلَٰدُهُم مِّنَ ٱللَّهِ شَيۡـٔٗاۖ  ,"Indeed, those who disbelieve - never will their wealth or their children avail them against Allah at all. ",أَمۡوَٰلُهُمۡ
2:155,,وَلَنَبۡلُوَنَّكُم بِشَيۡءٖ مِّنَ ٱلۡخَوۡفِ وَٱلۡجُوعِ وَنَقۡصٖ مِّنَ ٱلۡأَمۡوَٰلِ وَٱلۡأَنفُسِ وَٱلثَّمَرَٰتِۗ ,"And We will surely test you with something of fear and hunger and a loss of wealth and lives and fruits,",ٱلۡأَمۡوَٰلِ
,,بَيۡت,House,
71:28,,رَّبِّ ٱغۡفِرۡ لِي وَلِوَٰلِدَيَّ وَلِمَن دَخَلَ بَيۡتـِيَ مُؤۡمِنٗا وَلِلۡمُؤۡمِنِينَ وَٱلۡمُؤۡمِنَٰتِۖ ,"My Lord, forgive me and my parents and whoever enters my house a believer and the believing men and believing women. ",بَيۡتـِيَ
66:11,,قَالَتۡ رَبِّ ٱبۡنِ لِي عِندَكَ بَيۡتٗا فِي ٱلۡجَنَّةِ وَنَجِّنِي مِن فِرۡعَوۡنَ ,"she said, ""My Lord, build for me near You a house in Paradise and save me from Pharaoh",بَيۡتٗا
,,ٱلۡبَيۡت,The Ka’ba,
106:1-3,,لِإِيلَٰفِ قُرَيۡشٍ ١ إِۦلَٰفِهِمۡ رِحۡلَةَ ٱلشِّتَآءِ وَٱلصَّيۡفِ ٢ فَلۡيَعۡبُدُواْ رَبَّ هَٰذَا ٱلۡبَيۡتِ ٣ ,"For the accustomed security of the Quraysh - (1) Their accustomed security (in) the caravan of winter and summer - (2) Let them worship the Lord of this House, (3) ",ٱلۡبَيۡتِ
2:125,,وَإِذۡ جَعَلۡنَا ٱلۡبَيۡتَ مَثَابَةٗ لِّلنَّاسِ وَأَمۡنٗا وَٱتَّخِذُواْ مِن مَّقَامِ إِبۡرَٰهِـۧمَ مُصَلّٗىۖ ,And (mention) when We made the House a place of return for the people and (a place of) security. ,ٱلۡبَيۡتَ
,,دَار ,Home,
6:127,,لَهُمۡ دَارُ ٱلسَّلَٰمِ عِندَ رَبِّهِمۡۖ وَهُوَ وَلِيُّهُم بِمَا كَانُواْ يَعۡمَلُونَ,For them will be the Home of Peace with their Lord. And He will be their protecting friend protector because of what they used to do.,دَارُ
7:91,,فَأَخَذَتۡهُمُ ٱلرَّجۡفَةُ فَأَصۡبَحُواْ فِي دَارِهِمۡ جَٰثِمِينَ ,"So the earthquake seized them, and they became within their home (corpses) fallen prone. ",دَارِهِمۡ
,,دِيَٰر,Homes,
2:243,,أَلَمۡ تَرَ إِلَى ٱلَّذِينَ خَرَجُواْ مِن دِيَٰرِهِمۡ وَهُمۡ أُلُوفٌ ,"Have you not considered those who left their homes in many thousands, ",دِيَٰرِهِمۡ
,,مَتَٰع,Provision/ enjoyment,
9:38,,فَمَا مَتَٰعُ ٱلۡحَيَوٰةِ ٱلدُّنۡيَا فِي ٱلۡأٓخِرَةِ إِلَّا قَلِيلٌ , But what is the enjoyment of worldly life compared to the Hereafter except a (very) little.,مَتَٰعُ
10:23,,يَٰٓأَيُّهَا ٱلنَّاسُ إِنَّمَا بَغۡيُكُمۡ عَلَىٰٓ أَنفُسِكُمۖ مَّتَٰعَ ٱلۡحَيَوٰةِ ٱلدُّنۡيَاۖ ,"O mankind, your injustice is only against yourselves, (being merely) the enjoyment of worldly life. ",مَّتَٰعَ
,314,مَكَان,Place/ position,
19:22,,فَحَمَلَتۡهُ فَٱنتَبَذَتۡ بِهِۦ مَكَانٗا قَصِيّٗا ,"So she conceived him, and she withdrew with him to a remote place.",مَكَانٗا
,315,مَكَان, in place of,
16:101,,وَإِذَا بَدَّلۡنَآ ءَايَةٗ مَّكَانَ ءَايَةٖ وَٱللَّهُ أَعۡلَمُ بِمَا يُنَزِّلُ قَالُوٓاْ إِنَّمَآ أَنتَ مُفۡتَرِۭۚ  ,"And when We substitute a verse in place of a verse - and Allah is most knowing of what He sends down - they say, ""You, (O Muhammad), are but an inventor (of lies)."" ",مَّكَانَ
,,قَرۡيَة ,City/ Town,
2:58,,وَإِذۡ قُلۡنَا ٱدۡخُلُواْ هَٰذِهِ ٱلۡقَرۡيَةَ فَكُلُواْ مِنۡهَا حَيۡثُ شِئۡتُمۡ رَغَدٗا ,"And (recall) when We said, ""Enter this city and eat from it wherever you will in (ease and) abundance,",ٱلۡقَرۡيَةَ
2:259,,أَوۡ كَٱلَّذِي مَرَّ عَلَىٰ قَرۡيَةٖ وَهِيَ خَاوِيَةٌ عَلَىٰ عُرُوشِهَا ,Or (consider such an example) as the one who passed by a township which had fallen into ruin.,قَرۡيَةٖ
,,قُرَىٰ,Cities/ Towns,
6:92,,وَهَٰذَا كِتَٰبٌ أَنزَلۡنَٰهُ مُبَارَكٞ مُّصَدِّقُ ٱلَّذِي بَيۡنَ يَدَيۡهِ وَلِتُنذِرَ أُمَّ ٱلۡقُرَىٰ وَمَنۡ حَوۡلَهَاۚ,"And this is a Book which We have sent down, blessed and confirming what was before it, that you may warn the Mother of Cities and those around it. ",ٱلۡقُرَىٰ
6:131,,ذَٰلِكَ أَن لَّمۡ يَكُن رَّبُّكَ مُهۡلِكَ ٱلۡقُرَىٰ بِظُلۡمٖ وَأَهۡلُهَا غَٰفِلُونَ,That is because your Lord would not destroy the cities for wrongdoing while their people were unaware. ,ٱلۡقُرَىٰ
,,مَدِينَة,City,
7:123,,إِنَّ هَٰذَا لَمَكۡرٞ مَّكَرۡتُمُوهُ فِي ٱلۡمَدِينَةِ لِتُخۡرِجُواْ مِنۡهَآ أَهۡلَهَاۖ ,"Indeed, this is a conspiracy which you conspired in the city to expel therefrom its people.",ٱلۡمَدِينَةِ
12:30,,وَقَالَ نِسۡوَةٞ فِي ٱلۡمَدِينَةِ ٱمۡرَأَتُ ٱلۡعَزِيزِ تُرَٰوِدُ فَتَىٰهَا عَن نَّفۡسِهِۦ ,"And women in the city said, ""The wife of al-'Azeez is seeking to seduce her slave boy; ",ٱلۡمَدِينَةِ
,,ٱلۡمَدِينَة,Madinah/ the city,
9:101,,وَمِنۡ أَهۡلِ ٱلۡمَدِينَةِ مَرَدُواْ عَلَى ٱلنِّفَاقِ لَا تَعۡلَمُهُمۡۖ,"and (also) from the people of Madinah. They have become accustomed to hypocrisy. You, (O Muhammad), do not know them,",ٱلۡمَدِينَةِ
63:8,,يَقُولُونَ لَئِن رَّجَعۡنَآ إِلَى ٱلۡمَدِينَةِ لَيُخۡرِجَنَّ ٱلۡأَعَزُّ مِنۡهَا ٱلۡأَذَلَّۚ ,"They say, ""If we return to al-Madinah, the more honored (for power) will surely expel therefrom the more humble.""",ٱلۡمَدِينَةِ
,,سَبِيل ,Way,
63:2,,ٱتَّخَذُوٓاْ أَيۡمَٰنَهُمۡ جُنَّةٗ فَصَدُّواْ عَن سَبِيلِ ٱللَّهِۚ ,"They have taken their oaths as a cover, so they averted (people) from the way of Allah. ",سَبِيلِ
68:7,,إِنَّ رَبَّكَ هُوَ أَعۡلَمُ بِمَن ضَلَّ عَن سَبِيلِهِۦ وَهُوَ أَعۡلَمُ بِٱلۡمُهۡتَدِينَ ,"Indeed, your Lord is most knowing of who has gone astray from His way, and He is most knowing of the (rightly) guided. ",سَبِيلِهِۦ
,,سُبُل,Ways,
71:19-20,,وَٱللَّهُ جَعَلَ لَكُمُ ٱلۡأَرۡضَ بِسَاطٗا ١٩ لِّتَسۡلُكُواْ مِنۡهَا سُبُلٗا فِجَاجٗا ,"And Allah has made for you the earth an expanse (19) That you may follow therein roads of passage.' """,سُبُلٗا
,,صِرَٰط,Path,
1:6,,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ ,Guide us to the straight path - ,ٱلصِّرَٰطَ
23:73,,وَإِنَّكَ لَتَدۡعُوهُمۡ إِلَىٰ صِرَٰطٖ مُّسۡتَقِيمٖ ,"And indeed, you invite them to a straight path.",صِرَٰطٖ
,,مَسۡجِد ,Mosque,
2:150,,فَوَلِّ وَجۡهَكَ شَطۡرَ ٱلۡمَسۡجِدِ ٱلۡحَرَامِۚ ,turn your face toward al-Masjid al-Haram (sacred mosque). ,ٱلۡمَسۡجِدِ
,,مَسَٰجِد,Mosques,
9:17,,مَا كَانَ لِلۡمُشۡرِكِينَ أَن يَعۡمُرُواْ مَسَٰجِدَ ٱللَّهِ شَٰهِدِينَ عَلَىٰٓ أَنفُسِهِم بِٱلۡكُفۡرِۚ ,It is not for the polytheists to maintain the mosques of Allah (while) witnessing against themselves with disbelief.,مَسَٰجِدَ
,,فِتۡنَة,Trial,
2:102,,وَمَا يُعَلِّمَانِ مِنۡ أَحَدٍ حَتَّىٰ يَقُولَآ إِنَّمَا نَحۡنُ فِتۡنَةٞ فَلَا تَكۡفُرۡۖ ,"But the two angels do not teach anyone unless they say, ""We are a trial, so do not disbelieve (by practicing magic)."" ",فِتۡنَةٞ
74:31,,وَمَا جَعَلۡنَا عِدَّتَهُمۡ إِلَّا فِتۡنَةٗ لِّلَّذِينَ كَفَرُواْ لِيَسۡتَيۡقِنَ ٱلَّذِينَ أُوتُواْ ٱلۡكِتَٰبَ ,And We have not made their number except as a trial for those who disbelieve - that those who were given the Scripture will be convinced ,فِتۡنَةٗ
,,لِقَآء,Meeting,
6:31,,قَدۡ خَسِرَ ٱلَّذِينَ كَذَّبُواْ بِلِقَآءِ ٱللَّهِۖ,"Those will have lost who deny the meeting with Allah, ",بِلِقَآءِ
7:51,,فَٱلۡيَوۡمَ نَنسَىٰهُمۡ كَمَا نَسُواْ لِقَآءَ يَوۡمِهِمۡ هَٰذَا وَمَا كَانُواْ بِ,So today We will forget them just as they forgot the meeting of this Day of theirs and for having rejected Our verses.,لِقَآءَ
,,ذِي ٱلۡقُرۡبَى,Relatives,
4:36,,وَٱعۡبُدُواْ ٱللَّهَ وَلَا تُشۡرِكُواْ بِهِۦ شَيۡـٔٗاۖ وَبِٱلۡوَٰلِدَيۡنِ إِحۡسَٰنٗا وَبِذِي ٱلۡقُرۡبَىٰ وَٱلۡيَتَٰمَىٰ  ,"Worship Allah and associate nothing with Him, and to parents do good, and to relatives, orphans,",بِذِي ٱلۡقُرۡبَىٰ 
59:7,,مَّآ أَفَآءَ ٱللَّهُ عَلَىٰ رَسُولِهِۦ مِنۡ أَهۡلِ ٱلۡقُرَىٰ فَلِلَّهِ وَلِلرَّسُولِ وَلِـذِي ٱلۡقُرۡبَىٰ ,And what Allah restored to His Messenger from the people of the towns - it is for Allah and for the Messenger and for (his) near relatives ,لِـذِي ٱلۡقُرۡبَىٰ
,,ٱلۡوَٰلِدَيۡن,Parents,
2:83,,وَإِذۡ أَخَذۡنَا مِيثَٰقَ بَنِيٓ إِسۡرَٰٓءِيلَ لَا تَعۡبُدُونَ إِلَّا ٱللَّهَ وَبِٱلۡوَٰلِدَيۡنِ إِحۡسَانٗا ,"And (recall) when We took the covenant from the Children of Israel, (enjoining upon them), ""Do not worship except Allah; and to parents do good",بِٱلۡوَٰلِدَيۡنِ
4:36,,وَٱعۡبُدُواْ ٱللَّهَ وَلَا تُشۡرِكُواْ بِهِۦ شَيۡـٔٗاۖ وَبِٱلۡوَٰلِدَيۡنِ إِحۡسَٰنٗا وَبِذِي ٱلۡقُرۡبَىٰ وَٱلۡيَتَٰمَىٰ  ,"Worship Allah and associate nothing with Him, and to parents do good, and to relatives, orphans,",بِٱلۡوَٰلِدَيۡنِ
,,أُمّ,Mother,
28:7,,وَأَوۡحَيۡنَآ إِلَىٰٓ أُمِّ مُوسَىٰٓ أَنۡ أَرۡضِعِيهِۖ ,"And We inspired to the mother of Moses, ""Suckle him; ",أُمِّ
28:10,,وَأَصۡبَحَ فُؤَادُ أُمِّ مُوسَىٰ فَٰرِغًاۖ,And the heart of Moses' mother became empty (of all else). ,أُمِّ
,,أَبّ/أَبَتِ,Father/ O father,
28:25,,قَالَتۡ إِنَّ أَبِـي يَدۡعُوكَ لِيَجۡزِيَكَ أَجۡرَ مَا سَقَيۡتَ لَنَاۚ ,"She said, ""Indeed, my father invites you that he may reward you for having watered for us."" ",أَبِـي
28:26,,قَالَتۡ إِحۡدَىٰهُمَا يَٰٓأَبَتِ ٱسۡتَـٔۡجِرۡهُۖ إِنَّ خَيۡرَ مَنِ ٱسۡتَـٔۡجَرۡتَ ٱلۡقَوِيُّ ٱلۡأَمِينُ ,"One of the women said, ""O my father, hire him. Indeed, the best one you can hire is the strong and the trustworthy.""",يَٰٓأَبَتِ
,,ءَابَآء,Forefathers/ Ancestors,
2:170,,وَإِذَا قِيلَ لَهُمُ ٱتَّبِعُواْ مَآ أَنزَلَ ٱللَّهُ قَالُواْ بَلۡ نَتَّبِعُ مَآ أَلۡفَيۡنَا عَلَيۡهِ ءَابَآءَنَآۚ  ,"And when it is said to them, ""Follow what Allah has revealed,"" they say, ""Rather, we will follow that which we found our fathers doing/ upon."" ",ءَابَآءَنَآۚ
31:21,,قَالُواْ بَلۡ نَتَّبِعُ مَا وَجَدۡنَا عَلَيۡهِ ءَابَآءَنَآۚ ,"they say, ""Rather, we will follow that upon which we found our fathers."" ",ءَابَآءَنَآۚ
,,زَوۡج,(Spouse) Husband/ Wife,
2:35,,وَقُلۡنَا يَٰٓـَٔادَمُ ٱسۡكُنۡ أَنتَ وَزَوۡجُكَ ٱلۡجَنَّةَ ,"And We said, ""O Adam, dwell, you and your wife, in Paradise ",زَوۡجُكَ
7:189,,هُوَ ٱلَّذِي خَلَقَكُم مِّن نَّفۡسٖ وَٰحِدَةٖ وَجَعَلَ مِنۡهَا زَوۡجَهَا لِيَسۡكُنَ إِلَيۡهَاۖ ,It is He who created you from one soul and created from it its mate that he might dwell in security with her.,زَوۡجَهَا
,,رَجُل,Man,
10:2,, أَكَانَ لِلنَّاسِ عَجَبًا أَنۡ أَوۡحَيۡنَآ إِلَىٰ رَجُلٖ مِّنۡهُمۡ ,"Have the people been amazed that We revealed (revelation) to a man from among them, ",رَجُلٖ
6:9,,وَلَوۡ جَعَلۡنَٰهُ مَلَكٗا لَّجَعَلۡنَٰهُ رَجُلٗا ,"And if We had made him an angel, We would have made him (appear as) a man,",رَجُلٗا
,335,ٱمۡرَأة,Woman,
27:23,,إِنِّي وَجَدتُّ ٱمۡرَأَةٗ تَمۡلِكُهُمۡ وَأُوتِيَتۡ مِن كُلِّ شَيۡءٖ ,"Indeed, I found (there) a woman ruling them, and she has been given of all things,",ٱمۡرَأَةٗ
,336,ٱمۡرَأة / ٱمۡرَأت, Wife,
66:10,,ضَرَبَ ٱللَّهُ مَثَلٗا لِّلَّذِينَ كَفَرُواْ ٱمۡرَأَتَ نُوحٖ وَٱمۡرَأَتَ لُوطٖۖ ,Allah presents an example of those who disbelieved: the wife of Noah and the wife of Lot. ,ٱمۡرَأَتَ
,,ذُرِّيَّة,Offspring,
3:38,,هُنَالِكَ دَعَا زَكَرِيَّا رَبَّهُۥۖ قَالَ رَبِّ هَبۡ لِي مِن لَّدُنكَ ذُرِّيَّةٗ طَيِّبَةًۖ ,"At that, Zechariah called upon his Lord, saying, ""My Lord, grant me from Yourself a good offspring. ",ذُرِّيَّةٗ
4:9,,وَلۡيَخۡشَ ٱلَّذِينَ لَوۡ تَرَكُواْ مِنۡ خَلۡفِهِمۡ ذُرِّيَّةٗ ضِعَٰفًا خَافُواْ عَلَيۡهِمۡ ,And let those (executors and guardians) fear (injustice) as if they (themselves) had left weak offspring behind and feared for them. ,ذُرِّيَّةٗ
,,وَلَد ,Son (child),
2:116,,وَقَالُواْ ٱتَّخَذَ ٱللَّهُ وَلَدٗاۗ سُبۡحَٰنَهُۥۖ بَل لَّهُۥ مَا فِي ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِۖ ,"They say, ""Allah has taken a son."" Exalted is He! Rather, to Him belongs whatever is in the heavens and the earth.",وَلَدٗاۗ
,,أَوۡلَٰد,Sons (children),
6:140,,قَدۡ خَسِرَ ٱلَّذِينَ قَتَلُوٓاْ أَوۡلَٰدَهُمۡ سَفَهَۢا بِغَيۡرِ عِلۡمٖ ,Those will have lost who killed their children in foolishness without knowledge ,أَوۡلَٰدَهُمۡ
,,ٱبۡن ,Son,
2:87,,وَءَاتَيۡنَا عِيسَى ٱبۡنَ مَرۡيَمَ ٱلۡبَيِّنَٰتِ وَأَيَّدۡنَٰهُ بِرُوحِ ٱلۡقُدُسِۗ ,"And We gave Jesus, the son of Mary, clear proofs and supported him with the Pure Spirit. ",ٱبۡنَ
,,أَبۡنَآء,sons,
2:146,,ٱلَّذِينَ ءَاتَيۡنَٰهُمُ ٱلۡكِتَٰبَ يَعۡرِفُونَهُۥ كَمَا يَعۡرِفُونَ أَبۡنَآءَهُمۡۖ,Those to whom We gave the Scripture know him as they know their own sons. ,أَبۡنَآءَهُمۡۖ
,,إِخۡوَٰن,Brothers,
2:220,,قُلۡ إِصۡلَاحٞ لَّهُمۡ خَيۡرٞۖ وَإِن تُخَالِطُوهُمۡ فَإِخۡوَٰنُكُمۡۚ ,"Say, ""Improvement for them is best. And if you mix your affairs with theirs - they are your brothers.",فَإِخۡوَٰنُكُمۡۚ
6:87,,وَمِنۡ ءَابَآئِهِمۡ وَذُرِّيَّٰتِهِمۡ وَإِخۡوَٰنِهِمۡۖ وَٱجۡتَبَيۡنَٰهُمۡ وَهَدَيۡنَٰهُمۡ إِلَىٰ صِرَٰطٖ مُّسۡتَقِيمٖ ,And (some) among their fathers and their descendants and their brothers - and We chose them and We guided them to a straight path.,إِخۡوَٰنِهِمۡۖ
,,وَلِيّ ,Guardian/ Supporter,
2:282,,فَإِن كَانَ ٱلَّذِي عَلَيۡهِ ٱلۡحَقُّ سَفِيهًا أَوۡ ضَعِيفًا أَوۡ لَا يَسۡتَطِيعُ أَن يُمِلَّ هُوَ فَلۡيُمۡلِلۡ وَلِيُّهُۥ بِٱلۡعَدۡلِۚ ,"But if the one who has the obligation is of limited understanding or weak or unable to dictate himself, then let his guardian dictate in justice.",وَلِيُّهُۥ
,,أَوۡلِيَآء,Guardian/ Supporter,
3:28,,لَّا يَتَّخِذِ ٱلۡمُؤۡمِنُونَ ٱلۡكَٰفِرِينَ أَوۡلِيَآءَ مِن دُونِ ٱلۡمُؤۡمِنِينَۖ,Let not believers take disbelievers as allies rather than believers.,أَوۡلِيَآءَ
,,ذَكَر,Male,
16:97,,مَنۡ عَمِلَ صَٰلِحٗا مِّن ذَكَرٍ أَوۡ أُنثَىٰ وَهُوَ مُؤۡمِنٞ فَلَنُحۡيِيَنَّهُۥ حَيَوٰةٗ طَيِّبَةٗۖ ,"Whoever does righteousness, whether male or female, while he is a believer - We will surely cause him to live a good life,",ذَكَرٍ
40:40,,وَمَنۡ عَمِلَ صَٰلِحٗا مِّن ذَكَرٍ أَوۡ أُنثَىٰ وَهُوَ مُؤۡمِنٞ فَأُوْلَٰٓئِكَ يَدۡخُلُونَ ٱلۡجَنَّةَ ,"but whoever does righteousness, whether male or female, while he is a believer - those will enter Paradise,",ذَكَرٍ
,,أُنثَى,Female,
3:36,,رَبِّ إِنِّي وَضَعۡتُهَآ أُنثَىٰ وَٱللَّهُ أَعۡلَمُ بِمَا وَضَعَتۡ وَلَيۡسَ ٱلذَّكَرُ كَٱلۡأُنثَىٰۖ ," ""My Lord, I have delivered a female."" And Allah was most knowing of what she delivered, ""And the male is not like the female.",أُنثَىٰ ، كَٱلۡأُنثَىٰۖ
40:40,,وَمَنۡ عَمِلَ صَٰلِحٗا مِّن ذَكَرٍ أَوۡ أُنثَىٰ وَهُوَ مُؤۡمِنٞ فَأُوْلَٰٓئِكَ يَدۡخُلُونَ ٱلۡجَنَّةَ ,"but whoever does righteousness, whether male or female, while he is a believer - those will enter Paradise, ",أُنثَىٰ
,,وَجۡه,Face/ Countenance,
30:38,,ذَٰلِكَ خَيۡرٞ لِّلَّذِينَ يُرِيدُونَ وَجۡهَ ٱللَّهِۖ ,"That is best for those who desire the countenance of Allah, ",وَجۡهَ
,,وُجُوه,Faces/ Countenance,
3:106,,يَوۡمَ تَبۡيَضُّ وُجُوهٞ وَتَسۡوَدُّ وُجُوهٞۚ ,On the Day (some) faces will turn white and (some) faces will turn black. ,وُجُوهٞ
,,أَبۡصَٰر,Vision,
3:13,,إِنَّ فِي ذَٰلِكَ لَعِبۡرَةٗ لِّأُوْلِي ٱلۡأَبۡصَٰرِ ,Indeed in that is a lesson for those of vision. ,ٱلۡأَبۡصَٰرِ
6:103,,لَّا تُدۡرِكُهُ ٱلۡأَبۡصَٰرُ وَهُوَ يُدۡرِكُ ٱلۡأَبۡصَٰرَۖ وَهُوَ ٱللَّطِيفُ ٱلۡخَبِيرُ,"Vision perceives Him not, but He perceives (all) vision; and He is the Subtle, the Acquainted.",ٱلۡأَبۡصَٰرُ
,,صَدۡر,Breast/chest,
6:125,,فَمَن يُرِدِ ٱللَّهُ أَن يَهۡدِيَهُۥ يَشۡرَحۡ صَدۡرَهُۥ لِلۡإِسۡلَٰمِۖ ,So whoever Allah wants to guide - He expands his breast to (contain) Islam; ,صَدۡرَهُۥ
7:2,,كِتَٰبٌ أُنزِلَ إِلَيۡكَ فَلَا يَكُن فِي صَدۡرِكَ حَرَجٞ مِّنۡهُ لِتُنذِرَ بِهِ ,"(This is) a Book revealed to you, (O Muhammad) - so let there not be in your breast distress therefrom - that you may warn thereby ",صَدۡرِكَ
,, صُدُور,Breasts/ (chests,
3:29,,قُلۡ إِن تُخۡفُواْ مَا فِي صُدُورِكُمۡ أَوۡ تُبۡدُوهُ يَعۡلَمۡهُ ٱللَّهُۗ ,"Say, ""Whether you conceal what is in your breasts or reveal it, Allah knows it. ",صُدُورِكُمۡ
,,قَلۡب ,Heart,
3:159,,وَلَوۡ كُنتَ فَظًّا غَلِيظَ ٱلۡقَلۡبِ لَٱنفَضُّواْ مِنۡ حَوۡلِكَۖ  ,"And if you had been rude (in speech) and harsh in heart, they would have disbanded from about you.",ٱلۡقَلۡبِ
,,قُلُوب,Hearts,
13:28,,أَلَا بِذِكۡرِ ٱللَّهِ تَطۡمَئِنُّ ٱلۡقُلُوبُ ,"Unquestionably, by the remembrance of Allah hearts are assured.""",ٱلۡقُلُوبُ
,,نَفۡس ,Soul,
17:33,,وَلَا تَقۡتُلُواْ ٱلنَّفۡسَ ٱلَّتِي حَرَّمَ ٱللَّهُ إِلَّا بِٱلۡحَقِّۗ ,"And do not kill the soul which Allah has forbidden, except by right. ",ٱلنَّفۡسَ
3:145,,وَمَا كَانَ لِنَفۡسٍ أَن تَمُوتَ إِلَّا بِإِذۡنِ ٱللَّهِ كِتَٰبٗا مُّؤَجَّلٗاۗ ,And it is not (possible) for one to die except by permission of Allah at a decree determined.,لِنَفۡسٍ
,,أَنفُس,Souls,
2:155,,وَلَنَبۡلُوَنَّكُم بِشَيۡءٖ مِّنَ ٱلۡخَوۡفِ وَٱلۡجُوعِ وَنَقۡصٖ مِّنَ ٱلۡأَمۡوَٰلِ وَٱلۡأَنفُسِ وَٱلثَّمَرَٰتِۗ ,"And We will surely test you with something of fear and hunger and a loss of wealth and lives and fruits, ",ٱلۡأَنفُسِ
,,رُوح,Spirit/ Soul,
17:85,,وَيَسۡـَٔلُونَكَ عَنِ ٱلرُّوحِۖ قُلِ ٱلرُّوحُ مِنۡ أَمۡرِ رَبِّي,"And they ask you, (O Muhammad), about the soul. Say, ""The soul is of the affair of my Lord. ",ٱلرُّوحِۖ
2:87,,وَءَاتَيۡنَا عِيسَى ٱبۡنَ مَرۡيَمَ ٱلۡبَيِّنَٰتِ وَأَيَّدۡنَٰهُ بِرُوحِ ٱلۡقُدُسِۗ ,"And We gave Jesus, the son of Mary, clear proofs and supported him with the Pure Spirit. ",بِرُوحِ
,,قُوة,Power (strength),
2:165,,وَلَوۡ يَرَى ٱلَّذِينَ ظَلَمُوٓاْ إِذۡ يَرَوۡنَ ٱلۡعَذَابَ أَنَّ ٱلۡقُوَّةَ لِلَّهِ جَمِيعٗا,"And if only they who have wronged would consider (that) when they see the punishment, that all power belongs to Allah",ٱلۡقُوَّةَ
8:60,,وَأَعِدُّواْ لَهُم مَّا ٱسۡتَطَعۡتُم مِّن قُوَّةٖ وَمِن رِّبَاطِ ٱلۡخَيۡلِ تُرۡهِبُونَ بِهِۦ عَدُوَّ ٱللَّهِ ,And prepare against them whatever you are able of power and of steeds of war by which you may terrify the enemy of Allah ,قُوَّةٖ
,358,نَاس,People,
10:2,,أَكَانَ لِلنَّاسِ عَجَبًا أَنۡ أَوۡحَيۡنَآ إِلَىٰ رَجُلٖ مِّنۡهُمۡ ,"Have the people been amazed that We revealed [revelation] to a man from among them, ",لِلنَّاسِ
,359,قَوۡم,People,
10:13,,كَذَٰلِكَ نَجۡزِي ٱلۡقَوۡمَ ٱلۡمُجۡرِمِينَ ,Thus do We recompense the criminal people ,ٱلۡقَوۡمَ
,,أُمَّة ,Nation,
