AyahRef,Word,Meaning,Highlight
6:109,قُلۡ إِنَّمَا ٱلۡأٓيَٰتُ عِندَ ٱللَّهِۖ,"Say, [O Muhammad], ""Indeed, I have been commanded to be the first [among you] who submit [to Allah] (6:14)",إِنَّمَا
6:156,أَن تَقُولُوٓاْ إِنَّمَا أُنزِلَ ٱلۡكِتَٰبُ عَلَىٰ طَآئِفَتَيۡنِ مِن قَبۡلِنَا,Last,
,"أَنَّ + مَا ","And the last of their call will be, ""Praise be/due to Allah, Lord of the worlds!"" (10:10)",
,أَنَّما,to be for us a feast for the first of us and the last of us and a sign from You. (5:114),أَنَّما
8:28,وَٱعۡلَمُوٓاْ أَنَّما أَمۡوَٰلُكُمۡ وَأَوۡلَٰدُكُمۡ فِتۡنَةٞ,Near,أَنَّما
14:52,وَلِيَعۡلَمُوٓاْ أَنَّمَا هُوَ إِلَٰهٞ وَٰحِدٞ,"And when My servants ask you, [O Muhammad], concerning Me - indeed I am near. (2:186)",
,كَأَنَّ + مَا,Nearer,
,كَأَنَّمَا,"They were nearer to disbelief that day than to faith,- (3:167)",كَأَنَّمَا
10:27,مَّا لَهُم مِّنَ ٱللَّهِ مِنۡ عَاصِمٖۖ كَأَنَّمَا أُغۡشِيَتۡ وُجُوهُهُمۡ قِطَعٗا مِّنَ ٱلَّيۡلِ مُظۡلِمًاۚ,Far,كَأَنَّمَا
6:125,كَأَنَّمَا يَصَّعَّدُ فِي ٱلسَّمَآءِۚ,and Satan wishes to lead them far astray. (4:60),
,"كُلَّ + مَا  ",And I know not whether near or far is that which you are promised. (21:109),
,كُلَّمَا,Severe / Strong,كُلَّمَا
7:38,كُلَّمَا دَخَلَتۡ أُمَّةٞ لَّعَنَتۡ أُخۡتَهَاۖ,"Indeed, Allah is severe in penalty. (5:2)",وَكُلَّمَا
11:38,وَيَصۡنَعُ ٱلۡفُلۡكَ وَكُلَّمَا مَرَّ عَلَيۡهِ مَلَأٞ مِّن قَوۡمِهِۦ سَخِرُواْ مِنۡهُۚ,Severer / Stronger,
,"أَيۡنَ + مَا ",You will surely find the most intense of the people in animosity towards the believers [to be] the Jews (5:82),
,أَيۡنَمَا,Great / Large,أَيۡنَمَا
33:61,مَّلۡعُونِينَۖ أَيۡنَمَا ثُقِفُوٓاْ,"They ask you about the sacred month - about fighting therein. Say, ""Fighting therein is great [sin], but averting [people] from the way of Allah and disbelief in Him and [preventing access to] al-Masjid al-Haram and the expulsion of its people therefrom are greater [evil] in the sight of Allah. (2:217)",فَأَيۡنَمَا
2:115,فَأَيۡنَمَا تُوَلُّواْ فَثَمَّ وَجۡهُ ٱللَّهِۚ,"Nor do they spend an expenditure, small or large, or cross a valley but that it is registered for them (9:121)",
,أَيۡنَ مَا," Greater / Larger",أَيۡنَ مَا
19:31,وَجَعَلَنِي مُبَارَكًا أَيۡنَ مَا كُنتُ,"They ask you about the sacred month - about fighting therein. Say, ""Fighting therein is great [sin], but averting [people] from the way of Allah and disbelief in Him and [preventing access to] al-Masjid al-Haram and the expulsion of its people therefrom are greater [evil] in the sight of Allah. (2:217)",أَيۡنَ مَا
26:92,"وَقِيلَ لَهُمۡ أَيۡنَ مَا كُنتُمۡ تَعۡبُدُونَ ","Many ",
,"نِعمَ + مَا ",He misleads many thereby and guides many thereby. (2:26),
,نِعِمَّا," Most",فَنِعِمَّا
2:271,إِن تُبۡدُواْ ٱلصَّدَقَٰتِ فَنِعِمَّا هِيَۖ,"Indeed, Allah is full of bounty to the people, but most of the people are not grateful. (40:61)",نِعِمَّا
4:58,إِنَّ ٱللَّهَ نِعِمَّا يَعِظُكُم بِهِۦ,Swift,
,"بِئسَ + مَا ","And whoever disbelieves in the signs/verses of Allah, then indeed, Allah is swift in [taking] account. (3:19)",
,بِئسَمَا,"swiftest ",بِئۡسَمَا
7:150,قَالَ بِئۡسَمَا خَلَفۡتُمُونِي مِنۢ بَعۡدِيٓۖ,"Unquestionably, His is the judgement, and He is the swiftest of accountants. (6:62)",بِئۡسَمَا
2:90,بِئۡسَمَا ٱشۡتَرَوۡاْ بِهِۦٓ أَنفُسَهُمۡ,Little/ few,
,"فَـ + مَا ","""Work, O family of David, in gratitude."" And few of My servants are grateful. (34:13)",
,فَمَا,"then [they] say, ""This is from Allah,"" in order to exchange it for a small price. (2:79)",فَمَا
3:146,فَمَا وَهَنُواْ لِمَآ أَصَابَهُمۡ,Noble,فَمَا
4:80,فَمَا أَرۡسَلۡنَٰكَ عَلَيۡهِمۡ حَفِيظٗا,"Those are the believers, truly. For them are degrees [of high position] with their Lord and forgiveness and noble provision. (8:4)",
,فَـمَا (فَمَا خَطۡبُكَ),"and [they] said, ""Perfect is Allah! This is not a man; this is none but a noble angel."" (12:31)",فَمَا
20:95,"قَالَ فَمَا خَطۡبُكَ يَٰسَٰمِرِيُّ ",Guardian/ Protector,
,فَـمَا (فَمَا وَهَنُواْ),"[Joseph] said, ""Appoint me over the storehouses of the land. Indeed, I will be a knowledgeable guardian."" (12:55)",فَمَا
37:87,"فَمَا ظَنُّكُم بِرَبِّ ٱلۡعَٰلَمِينَ ",but those who turn away - We have not sent you over them as a guardian. (4:80),
,أَمَّا,Better,وَأَمَّا
69:6,"وَأَمَّا عَادٞ فَأُهۡلِكُواْ بِرِيحٖ صَرۡصَرٍ عَاتِيَةٖ ","And when you are greeted with a greeting, greet [in return] with one better than it or [at least] return it [in a like manner]. (4:86)",وَأَمَّا
72:15,"وَأَمَّا ٱلۡقَٰسِطُونَ فَكَانُواْ لِجَهَنَّمَ حَطَبٗا ",But who is better than Allah in judgement for a people who are certain [in faith]. (5:50),
,إِمَّا (إِمَّا شَاكِرٗا وَإِمَّا كَفُورًا),More unjust,إِمَّآ
7:115,"قَالُواْ يَٰمُوسَىٰٓ إِمَّآ أَن تُلۡقِيَ وَ إِمَّآ أَن نَّكُونَ نَحۡنُ ٱلۡمُلۡقِينَ ",And who is more unjust than one who invents a lie about Allah (6:21),
,إِمَّا (فَإِمَّا يَأۡتِيَنَّكُم مِّنِّي هُدٗى),And who are more unjust than those who prevent the name of Allah from being mentioned in His mosques (2:114),فَإِمَّا
2:38,فَإِمَّا يَأۡتِيَنَّكُم مِّنِّي هُدٗى فَمَن تَبِعَ هُدَايَ فَلَا خَوۡفٌ عَلَيۡهِمۡ,More worthy,
,,"They said, ""How can he have kingship over us while we are more worthy of kingship than him (2:247)",
,رَبّ,"So which of the two parties has more right to security, (6:81)",رَبِّ
1:2,"ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ ",Nearer/ More likely,رَبِّ
2:126,"وَإِذۡ قَالَ إِبۡرَٰهِـۧمُ رَبِّ ٱجۡعَلۡ هَٰذَا بَلَدًا ءَامِنٗا ","That is more just in the sight of Allah and stronger as evidence and more likely to prevent doubt between you, (2:282)",رَبَّنَا
2:128,"رَبَّنَا وَٱجۡعَلۡنَا مُسۡلِمَيۡنِ لَكَ وَمِن ذُرِّيَّتِنَآ أُمَّةٗ مُّسۡلِمَةٗ لَّكَ ",That is more suitable that you may not incline [to injustice]. (4:3),
,"ٱلرَّحۡمَٰنِ ",Messenger,ٱلرَّحۡمَٰنِ
1:1,"بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ ","The Messiah, son of Mary, was not but a messenger; [other] messengers have passed on before him. And his mother was a supporter of truth. (5:75) ",ٱلرَّحۡمَٰنُ
2:163,"وَإِلَٰهُكُمۡ إِلَٰهٞ وَٰحِدٞۖ لَّآ إِلَٰهَ إِلَّا هُوَ ٱلرَّحۡمَٰنُ ٱلرَّحِيمُ ","[They are] those who said, ""Indeed, Allah has taken our promise not to believe any messenger until he brings us an offering which fire [from heaven] will consume."" Say, ""There have already come to you messengers before me with clear proofs (3:183)",
,ٱلرَّحِيم,Messengers,ٱلرَّحِيمِ
1:1,"بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ ","The Messiah, son of Mary, was not but a messenger; [other] messengers have passed on before him. And his mother was a supporter of truth. (5:75) ",ٱلرَّحِيمُ
2:163,"وَإِلَٰهُكُمۡ إِلَٰهٞ وَٰحِدٞۖ لَّآ إِلَٰهَ إِلَّا هُوَ ٱلرَّحۡمَٰنُ ٱلرَّحِيمُ ","[They are] those who said, ""Indeed, Allah has taken our promise not to believe any messenger until he brings us an offering which fire [from heaven] will consume."" Say, ""There have already come to you messengers before me with clear proofs (3:183)",
,عَزِيز,Prophet,عَزِيزٌ
2:209,"فَٱعۡلَمُوٓاْ أَنَّ ٱللَّهَ عَزِيزٌ حَكِيمٌ ",And We sent to no city a prophet [who was denied] except that We seized its people with poverty and hardship (7:94),عَزِيزٌ
2:220,"وَلَوۡ شَآءَ ٱللَّهُ لَأَعۡنَتَكُمۡۚ إِنَّ ٱللَّهَ عَزِيزٌ حَكِيمٞ ","And We did not send before you any messenger or prophet except that when he spoke [or recited], Satan threw into it [some misunderstanding]. (22:52)",
,حَكِيم,Prophets,حَكِيمٌ
2:209,"فَٱعۡلَمُوٓاْ أَنَّ ٱللَّهَ عَزِيزٌ حَكِيمٌ "," Say, ""Then why did you kill the prophets of Allah before, if you are [indeed] believers?"" (2:91)",حَكِيمٌ
2:220,"وَلَوۡ شَآءَ ٱللَّهُ لَأَعۡنَتَكُمۡۚ إِنَّ ٱللَّهَ عَزِيزٌ حَكِيمٞ ","The prophets who submitted [to Allah] judged by it for the Jews, (5:44)",
,غَفُور,"And We have made some of the prophets exceed others [in various ways], (17:55) ",غَفُورٌ
2:225,"وَلَٰكِن يُؤَاخِذُكُم بِمَا كَسَبَتۡ قُلُوبُكُمۡۗ وَٱللَّهُ غَفُورٌ حَلِيمٞ ",Trustworthy/ Honest,غَفُورٌ
2:235,"وَٱعۡلَمُوٓاْ أَنَّ ٱللَّهَ غَفُورٌ حَلِيمٞ ","Indeed, I am to you a trustworthy messenger. (26:107)",غَفُورٗا
4:96,"وَكَانَ ٱللَّهُ غَفُورٗا رَّحِيمًا ","And when he spoke to him, he said, ""Indeed, you are today established [in position] and trusted."" (12:54)",
,حَلِيم,Warner,حَلِيمٞ
2:225,"وَلَٰكِن يُؤَاخِذُكُم بِمَا كَسَبَتۡ قُلُوبُكُمۡۗ وَٱللَّهُ غَفُورٌ حَلِيمٞ ","Indeed, We have sent you, [O Muhammad], with the truth as a bringer of good tidings and a warner, (2:119)",حَلِيمٞ
2:235,"وَٱعۡلَمُوٓاْ أَنَّ ٱللَّهَ غَفُورٌ حَلِيمٞ ","And say, ""Indeed, I am the clear warner"" - (15:89)",
,ٱلعَظِيم,Moses,ٱلۡعَظِيمُ
2:255,"وَلَا يَـُٔودُهُۥ حِفۡظُهُمَاۚ وَهُوَ ٱلۡعَلِيُّ ٱلۡعَظِيمُ ",And We had already given Moses and Aaron the criterion and a light. (21:48),ٱلۡعَظِيمِ
3:74,"وَٱللَّهُ ذُو ٱلۡفَضۡلِ ٱلۡعَظِيمِ ",Then We sent after them Moses and Aaron to Pharaoh and his establishment (10:75) ,ٱلۡعَظِيمِ
27:26,"ٱللَّهُ لَآ إِلَٰهَ إِلَّا هُوَ رَبُّ ٱلۡعَرۡشِ ٱلۡعَظِيمِ "," Aaron",
,ٱلعَلِيّ,And We had already given Moses and Aaron the criterion and a light. (21:48),ٱلۡعَلِيُّ
2:255,"وَلَا يَـُٔودُهُۥ حِفۡظُهُمَاۚ وَهُوَ ٱلۡعَلِيُّ ٱلۡعَظِيمُ ",Then We sent after them Moses and Aaron to Pharaoh and his establishment (10:75) ,
,"عَلِيم ",Abraham,عَلِيمًا
4:11,"فَرِيضَةٗ مِّنَ ٱللَّهِۗ إِنَّ ٱللَّهَ كَانَ عَلِيمًا حَكِيمٗا  ","And [mention, O Muhammad], when Abraham was tried by his Lord with commands and he fulfilled them. (2:124)",عَلِيمًا
4:35,"إِنَّ ٱللَّهَ كَانَ عَلِيمًا خَبِيرٗا ","Indeed, Allah chose Adam and Noah and the family of Abraham and the family of 'Imran (3:33)",ٱلۡعَلِيمُ
66:3,"قَالَتۡ مَنۡ أَنۢبَأَكَ هَٰذَاۖ قَالَ نَبَّأَنِيَ ٱلۡعَلِيمُ ٱلۡخَبِيرُ ","Say, ""We have believed in Allah and in what was revealed to us and what was revealed to Abraham, Ishmael, (3:84)",
,خَبِير,Ishmael,خَبِيرٗا
4:35,"إِنَّ ٱللَّهَ كَانَ عَلِيمًا خَبِيرٗا ","Say, ""We have believed in Allah and in what was revealed to us and what was revealed to Abraham, Ishmael, (3:84)",ٱلۡخَبِيرُ
66:3,"قَالَتۡ مَنۡ أَنۢبَأَكَ هَٰذَاۖ قَالَ نَبَّأَنِيَ ٱلۡعَلِيمُ ٱلۡخَبِيرُ ",Noah,
,سَمِيع,"Indeed, Allah chose Adam and Noah and the family of Abraham and the family of 'Imran (3:33)",سَمِيعَۢا
4:58,"إِنَّ ٱللَّهَ كَانَ سَمِيعَۢا بَصِيرٗا ","It was said, ""O Noah, disembark in security from Us and blessings upon you (11:48) ",سَمِيعَۢا
4:134,"فَعِندَ ٱللَّهِ ثَوَابُ ٱلدُّنۡيَا وَٱلۡأٓخِرَةِۚ وَكَانَ ٱللَّهُ سَمِيعَۢا بَصِيرٗا ",Joseph,
,بَصِير,"[Of these stories mention] when Joseph said to his father, ""O my father, indeed I have seen [in a dream] eleven stars (12:4)",بَصِيرٗا
4:58,"إِنَّ ٱللَّهَ كَانَ سَمِيعَۢا بَصِيرٗا ","Certainly were there in Joseph and his brothers signs for those who ask, (12:7)",بَصِيرٗا
4:134,فَعِندَ ٱللَّهِ ثَوَابُ ٱلدُّنۡيَا وَٱلۡأٓخِرَةِۚ وَكَانَ ٱللَّهُ سَمِيعَۢا بَصِيرٗا,Lot,
,"شَكُور "," And when the messengers came to the family of Lot, (15:61)",شَكُورٞ
35:30,"لِيُوَفِّيَهُمۡ أُجُورَهُمۡ وَيَزِيدَهُم مِّن فَضۡلِهِۦٓۚ إِنَّهُۥ غَفُورٞ شَكُورٞ ","And [mention] Lot, when he said to his people, ""Do you commit immorality while you are seeing? (27:54)",شَكُورٖ
14:5,"وَذَكِّرۡهُم بِأَيَّىٰمِ ٱللَّهِۚ إِنَّ فِي ذَٰلِكَ لَأٓيَٰتٖ لِّكُلِّ صَبَّارٖ شَكُورٖ ","Jesus, son of Mary",
,قَدِير," And [for] their saying, ""Indeed, we have killed the Messiah, Jesus, the son of Mary, the messenger of Allah."" And they did not kill him, and they did not crucify him (4:157) ",قَدِيرٌ
2:106,"أَلَمۡ تَعۡلَمۡ أَنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٌ ","Say, ""Then who could prevent Allah at all if He had intended to destroy Messiah, the son of Mary, (5:17)",قَدِيرًا
4:149,"فَإِنَّ ٱللَّهَ كَانَ عَفُوّٗا قَدِيرًا ",Adam,
,وَكِيل,And He taught Adam the names - all of them. Then He showed them to the angels (2:31),وَكِيلًا
4:81,"فَأَعۡرِضۡ عَنۡهُمۡ وَتَوَكَّلۡ عَلَى ٱللَّهِۚ وَكَفَىٰ بِٱللَّهِ وَكِيلًا ","Then Adam received from his Lord [some] words, and He accepted his repentance. (2:37)",ٱلۡوَكِيلُ 
2:173,"وَقَالُواْ حَسۡبُنَا ٱللَّهُ وَنِعۡمَ ٱلۡوَكِيلُ  ",Solomon,
,نَصِير,"It was not Solomon who disbelieved, but the devils disbelieved, (2:102)",نَصِيرٍ
2:107,"وَمَا لَكُم مِّن دُونِ ٱللَّهِ مِن وَلِيّٖ وَلَا نَصِيرٍ ","and among his descendants, David and Solomon and Job and Joseph and Moses and Aaron. (6:84) ",نَصِيرًا
4:75,"وَٱجۡعَل لَّنَا مِن لَّدُنكَ وَلِيّٗا وَٱجۡعَل لَّنَا مِن لَّدُنكَ نَصِيرًا ",Isaac,
,حَمِيد,"And his wife was standing, and she smiled. Then We gave her good tidings of Isaac and after Isaac, Jacob. (11:71)",حَمِيدٌ
2:267,"وَٱعۡلَمُوٓاْ أَنَّ ٱللَّهَ غَنِيٌّ حَمِيدٌ "," Jacob ",حَمِيدٞ
11:73,"رَحۡمَتُ ٱللَّهِ وَبَرَكَٰتُهُۥ عَلَيۡكُمۡ أَهۡلَ ٱلۡبَيۡتِۚ إِنَّهُۥ حَمِيدٞ مَّجِيدٞ ","And his wife was standing, and she smiled. Then We gave her good tidings of Isaac and after Isaac, Jacob. (11:71)",
,تَوَّاب,Israel,ٱلتَّوَّابُ
2:128,"وَتُبۡ عَلَيۡنَآۖ إِنَّكَ أَنتَ ٱلتَّوَّابُ ٱلرَّحِيمُ ",And We gave Moses the Scripture and made it a guidance for the Children of Israel (17:2),تَوَّابٞ
49:12,"وَٱتَّقُواْ ٱللَّهَۚ إِنَّ ٱللَّهَ تَوَّابٞ رَّحِيمٞ ",David,
,أَوَّل,"And We have made some of the prophets exceed others [in various ways], and to David We gave the book [of Psalms]. (17:55)",أَوَّلَ
3:96,"إِنَّ أَوَّلَ بَيۡتٖ وُضِعَ لِلنَّاسِ لَلَّذِي بِبَكَّةَ ","So they defeated them by permission of Allah, and David killed Goliath, (2:251) ",أَوَّلَ
6:14,"قُلۡ إِنِّيٓ أُمِرۡتُ أَنۡ أَكُونَ أَوَّلَ مَنۡ أَسۡلَمَۖ ",Zachariah,
,ءَاخِر,[This is] a mention of the mercy of your Lord to His servant Zechariah (19:2),ءَاخِرُ
10:10,"وَءَاخِرُ دَعۡوَىٰهُمۡ أَنِ ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ ",John,ءَاخِرِنَا
5:114,"تَكُونُ لَنَا عِيدٗا لِّأَوَّلِنَا وَءَاخِرِنَا وَءَايَةٗ مِّنكَۖ ","""O Zechariah, indeed We give you good tidings of a boy whose name will be John. (19:7)
Job
And [mention] Job, when he called to his Lord, ""Indeed, adversity has touched me, and you are the Most Merciful of the merciful."" (21:83)",
,قَرِيب,Jonah,قَرِيبٌۖ
2:186,"وَإِذَا سَأَلَكَ عِبَادِي عَنِّي فَإِنِّي قَرِيبٌۖ ","And indeed, Jonah was among the messengers. (37:139) ",
,أَقۡرَب,"And [mention] the man of the fish, when he went off in anger and thought that We would not decree [anything] upon him. (21:87)",أَقۡرَبُ
3:167,"هُمۡ لِلۡكُفۡرِ يَوۡمَئِذٍ أَقۡرَبُ مِنۡهُمۡ لِلۡإِيمَٰنِۚ ",Shu’ayb (Madian),
,بَعِيد,"And to [the people of] Madyan [We sent] their brother Shu'ayb. He said, ""O my people, worship Allah; (7:85)",بَعِيدٗا
4:60,"وَيُرِيدُ ٱلشَّيۡطَٰنُ أَن يُضِلَّهُمۡ ضَلَٰلَۢا بَعِيدٗا ",Salih (Thamud),بَعِيدٞ
21:109,"وَإِنۡ أَدۡرِيٓ أَقَرِيبٌ أَم بَعِيدٞ مَّا تُوعَدُون ","And to Thamud [We sent] their brother Salih. He said, ""O my people, worship Allah; (11:61) ",
," شَدِيد ",Hud (‘Aad),شَدِيدُ
5:2,"إِنَّ ٱللَّهَ شَدِيدُ ٱلۡعِقَابِ ","And to 'Aad [We sent] their brother Hud. He said, ""O my people, worship Allah; (11:50) ",
,"أَشَدّ ",Sign/ verse,أَشَدَّ
5:82,"لَتَجِدَنَّ أَشَدَّ ٱلنَّاسِ عَدَٰوَةٗ لِّلَّذِينَ ءَامَنُواْ ٱلۡيَهُودَ "," Even if every sign should come to them, until they see the painful punishment. (10:97)",
,"كَبِير ",Signs/ verses,كَبِيرٞۚ
2:217,"يَسۡـَٔلُونَكَ عَنِ ٱلشَّهۡرِ ٱلۡحَرَامِ قِتَالٖ فِيهِۖ قُلۡ قِتَالٞ فِيهِ كَبِيرٞۚ وَصَدٌّ عَن سَبِيلِ ٱللَّهِ وَكُفۡرُۢ بِهِۦ وَٱلۡمَسۡجِدِ ٱلۡحَرَامِ وَإِخۡرَاجُ أَهۡلِهِۦ مِنۡهُ أَكۡبَرُ عِندَ ٱللَّهِۚ ","And We have certainly revealed to you verses [which are] clear proofs, (2:99)",كَبِيرَةً
9:121,"وَلَا يُنفِقُونَ نَفَقَةً صَغِيرَةً وَلَا كَبِيرَةً وَلَا يَقْطَعُونَ وَادِيًا إِلَّا كُتِبَ لَهُمْ  ",The Quran,
,"أَكۡبَر ",[It is] a true promise [binding] upon Him in the Torah and the Gospel and the Qur'an. (9:111),أَكۡبَرُ
2:217,"يَسۡـَٔلُونَكَ عَنِ ٱلشَّهۡرِ ٱلۡحَرَامِ قِتَالٖ فِيهِۖ قُلۡ قِتَالٞ فِيهِ كَبِيرٞۚ وَصَدٌّ عَن سَبِيلِ ٱللَّهِ وَكُفۡرُۢ بِهِۦ وَٱلۡمَسۡجِدِ ٱلۡحَرَامِ وَإِخۡرَاجُ أَهۡلِهِۦ مِنۡهُ أَكۡبَرُ عِندَ ٱللَّهِۚ ","The month of Ramadhan [is that] in which was revealed the Qur'an, a guidance for the people (2:185)",
,"كَثِير  ",The Gospel,كَثِيرٗا
2:26,"يُضِلُّ بِهِۦ كَثِيرٗا وَيَهۡدِي بِهِۦ كَثِيرٗاۚ ",And let the People of the Gospel judge by what Allah has revealed therein. (5:47) ,
,"أَكۡثَر  ",[It is] a true promise [binding] upon Him in the Torah and the Gospel and the Qur'an. (9:111),أَكۡثَرَ
40:61,"إِنَّ ٱللَّهَ لَذُو فَضۡلٍ عَلَى ٱلنَّاسِ وَلَٰكِنَّ أَكۡثَرَ ٱلنَّاسِ لَا يَشۡكُرُونَ ",The Torah,
," سَرِيع ","And if only they upheld [the law of] the Torah, the Gospel, and what has been revealed to them (5:66)",سَرِيعُ
3:19,"وَمَن يَكۡفُرۡ بِـَٔايَٰتِ ٱللَّهِ فَإِنَّ ٱللَّهَ سَرِيعُ ٱلۡحِسَابِ ",[It is] a true promise [binding] upon Him in the Torah and the Gospel and the Qur'an. (9:111),
," أَسۡرَع ",Livestock,أَسۡرَعُ
6:62,"أَلَا لَهُ ٱلۡحُكۡمُ وَهُوَ أَسۡرَعُ ٱلۡحَٰسِبِينَ ","And the grazing livestock He has created for you; in them is warmth and [numerous] benefits, (16:5)",
,قَلِيل,"They are not except like livestock. Rather, they are [even] more astray in [their] way. (25:44)",قَلِيلٞ
34:13,"ٱعۡمَلُوٓاْ ءَالَ دَاوُۥدَ شُكۡرٗاۚ وَقَلِيلٞ مِّنۡ عِبَادِيَ ٱلشَّكُورُ ",Mountain,قَلِيلٗاۖ
2:79,"ثُمَّ يَقُولُونَ هَٰذَا مِنۡ عِندِ ٱللَّهِ لِيَشۡتَرُواْ بِهِۦ ثَمَنٗا قَلِيلٗاۖ ",And [mention] when We raised the mountain above them as if it was a dark cloud (7:171),
,كَرِيم,Mountains,كَرِيمٞ
(8:4,"لَّهُمۡ دَرَجَٰتٌ عِندَ رَبِّهِمۡ وَمَغۡفِرَةٞ وَرِزۡقٞ كَرِيمٞ ","And they ask you about the mountains, so say, ""My Lord will blow them away with a blast. (20:105) ",كَرِيمٞ
12:31,"وَقُلۡنَ حَٰشَ لِلَّهِ مَا هَٰذَا بَشَرًا إِنۡ هَٰذَآ إِلَّا مَلَكٞ كَرِيمٞ ",Sea/ River,
,حَفِيظ,and the ships which run through the sea by His command (22:65),حَفِيظٌ
12:55,"قَالَ ٱجۡعَلۡنِي عَلَىٰ خَزَآئِنِ ٱلۡأَرۡضِۖ إِنِّي حَفِيظٌ عَلِيمٞ ","And it is He who has released [simultaneously] the two seas, one fresh and sweet and one salty and bitter, (25:53)",حَفِيظٗا
4:80,"وَمَن تَوَلَّىٰ فَمَآ أَرۡسَلۡنَٰكَ عَلَيۡهِمۡ حَفِيظٗا ",River,
,أَحۡسَن,Each of the two gardens produced its fruit and did not fall short thereof in anything. And We caused to gush forth within them a river. (18:33),بِأَحۡسَنَ
4:86,"وَإِذَا حُيِّيتُم بِتَحِيَّةٖ فَحَيُّواْ بِأَحۡسَنَ مِنۡهَآ أَوۡ رُدُّوهَآۗ ",Rivers,أَحۡسَنُ
5:50,"وَمَنۡ أَحۡسَنُ مِنَ ٱللَّهِ حُكۡمٗا لِّقَوۡمٖ يُوقِنُونَ ","Indeed, the righteous will be among in gardens and rivers, (54:54)",
,أَظۡلَم,Sun,أَظۡلَمُ
6:21,"وَمَنۡ أَظۡلَمُ مِمَّنِ ٱفۡتَرَىٰ عَلَى ٱللَّهِ كَذِبًا ",Establish prayer at the decline of the sun [from its meridian] until the darkness of the night (17:78),أَظۡلَمُ
2:114,"وَمَنۡ أَظۡلَمُ مِمَّن مَّنَعَ مَسَٰجِدَ ٱللَّهِ أَن يُذۡكَرَ فِيهَا ٱسۡمُهُ ",Moon,
,أَحَق,And it is He who created the night and the day and the sun and the moon; (21:33) ,أَحَقُّ
2:247,"قَالُوٓاْ أَنَّىٰ يَكُونُ لَهُ ٱلۡمُلۡكُ عَلَيۡنَا وَنَحۡنُ أَحَقُّ بِٱلۡمُلۡكِ مِنۡهُ ","And the moon - We have determined for it phases, until it returns [appearing] like the old date stalk. (36:39)",أَحَقُّ
6:81,"فَأَيُّ ٱلۡفَرِيقَيۡنِ أَحَقُّ بِٱلۡأَمۡنِۖ ",Night,
,أَدۡنَى,"And a sign for them is the night. We extract from it [the light of] day, so they are [left] in darkness. (36:37)",أَدۡنَىٰٓ
2:282,"ذَٰلِكُمۡ أَقۡسَطُ عِندَ ٱللَّهِ وَأَقۡوَمُ لِلشَّهَٰدَةِ وَأَدۡنَىٰٓ أَلَّا تَرۡتَابُوٓاْ ","It is not allowable for the sun to reach the moon, nor does the night overtake the day, (36:40)",أَدۡنَىٰٓ
4:3,"ذَٰلِكَ أَدۡنَىٰٓ أَلَّا تَعُولُواْ ",Daytime,
,"رَسُول ","And a sign for them is the night. We extract from it [the light of] day, so they are [left] in darkness. (36:37)",رَسُولٞ
5:75,"مَّا ٱلۡمَسِيحُ ٱبۡنُ مَرۡيَمَ إِلَّا رَسُولٞ قَدۡ خَلَتۡ مِن قَبۡلِهِ ٱلرُّسُلُ وَأُمُّهُۥ صِدِّيقَةٞۖ  ","It is not allowable for the sun to reach the moon, nor does the night overtake the day, (36:40)",لِرَسُولٍ
3:183,"ٱلَّذِينَ قَالُوٓاْ إِنَّ ٱللَّهَ عَهِدَ إِلَيۡنَآ أَلَّا نُؤۡمِنَ لِرَسُولٍ حَتَّىٰ يَأۡتِيَنَا بِقُرۡبَان تَأۡكُلُهُ ٱلنَّارُۗ قُلۡ قَدۡ جَآءَكُمۡ رُسُلٞ مِّن قَبۡلِي بِٱلۡبَيِّنَٰتِ ",Earth,
,رُسُل,"The Lord of the heavens and earth and that between them, (26:24) ",ٱلرُّسُلُ
5:75,"مَّا ٱلۡمَسِيحُ ٱبۡنُ مَرۡيَمَ إِلَّا رَسُولٞ قَدۡ خَلَتۡ مِن قَبۡلِهِ ٱلرُّسُلُ وَأُمُّهُۥ صِدِّيقَةٞۖ  ","“O David, indeed We have made you a successor upon the earth, (38:26)",رُسُلٞ
3:183,"ٱلَّذِينَ قَالُوٓاْ إِنَّ ٱللَّهَ عَهِدَ إِلَيۡنَآ أَلَّا نُؤۡمِنَ لِرَسُولٍ حَتَّىٰ يَأۡتِيَنَا بِقُرۡبَان تَأۡكُلُهُ ٱلنَّارُۗ قُلۡ قَدۡ جَآءَكُمۡ رُسُلٞ مِّن قَبۡلِي بِٱلۡبَيِّنَٰتِ ",Heaven/ Sky,
,نَبِي,And We did not create the heaven and the earth and that between them aimlessly. (38:27) ,نَّبِيٍّ
7:94,"وَمَآ أَرۡسَلۡنَا فِي قَرۡيَةٖ مِّن نَّبِيٍّ إِلَّآ أَخَذۡنَآ أَهۡلَهَا بِٱلۡبَأۡسَآءِ وَٱلضَّرَّآءِ  ",Heavens,نَبِيٍّ
